,title,author,date_read,date_added,rating,num_pages,avg_rating,read_count,date_published,date_started,cover_url,user_id
89,All the Shah's Men: An American Coup and the Roots of Middle East Terror,Stephen Kinzer,,2022-12-18,,272.0,4.28,0,2003-07-17,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548522828l/46347._SY75_.jpg,142394620
90,Where the Crawdads Sing,Delia Owens,2022-12-08,2022-12-08,5.0,384.0,4.4,1,2018-08-14,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582135294l/36809135._SY75_.jpg,142394620
91,We Were Dreamers: An Immigrant Superhero Origin Story,Simu Liu,2022-12-25,2022-12-08,4.0,320.0,4.39,1,2022-05-17,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652709298l/52582665._SY75_.jpg,142394620
92,"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",Maria Konnikova,,2022-12-06,,368.0,4.08,0,2020-06-23,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585143928l/49814228._SY75_.jpg,142394620
93,Quit: The Power of Knowing When to Walk Away,Annie Duke,2023-02-01,2022-12-06,4.0,336.0,4.23,1,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646433332l/60097435._SY75_.jpg,142394620
94,Exhalation,Ted Chiang,2023-03-05,2022-12-03,5.0,368.0,4.28,1,2019-05-07,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534388394l/41160292._SX50_.jpg,142394620
95,The Wayfinders: Why Ancient Wisdom Matters in the Modern World,Wade Davis,,2022-12-02,,262.0,4.24,0,2009-10-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395458406l/6373455._SY75_.jpg,142394620
96,"Just So: Money, Materialism, and the Ineffable, Intelligent Universe",Alan W. Watts,,2022-12-02,,216.0,4.27,0,2020-02-25,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557699766l/45439575._SX50_.jpg,142394620
97,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,,2022-11-02,,264.0,3.87,0,2016-06-28,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463569814l/27161156._SY75_.jpg,142394620
98,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,,2022-11-02,,419.0,4.21,0,2012-03-13,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534528902l/11324722._SY75_.jpg,142394620
99,"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry,2022-11-24,2022-10-29,5.0,304.0,4.46,1,2021-04-27,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1653552093l/53238858._SY75_.jpg,142394620
100,"Freezing Order: A True Story of Money Laundering, Murder, and Surviving Vladimir Putin's Wrath",Bill Browder,2022-10-29,2022-10-23,5.0,336.0,4.33,1,2022-04-12,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649605131l/59366154._SY75_.jpg,142394620
101,"Build for Tomorrow: An Action Plan for Embracing Change, Adapting Fast, and Future-Proofing Your Career",Jason Feifer,,2022-10-20,,272.0,3.98,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650842981l/59575954._SX50_.jpg,142394620
102,Finding Flow: The Psychology Of Engagement With Everyday Life,Mihaly Csikszentmihalyi,,2022-10-18,,143.0,4.11,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590781558l/53630453._SX50_.jpg,142394620
103,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,,2022-10-04,,303.0,4.1,0,1990-01-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432253110l/66354._SY75_.jpg,142394620
104,Sharp Objects,Gillian Flynn,2022-11-20,2022-10-04,4.0,254.0,4.01,1,2006-09-26,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475695315l/18045891._SY75_.jpg,142394620
105,Influence: The Psychology of Persuasion,Robert B. Cialdini,,2022-10-03,,320.0,4.21,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391026083l/28815._SY75_.jpg,142394620
106,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,2022-10-13,2022-09-22,5.0,380.0,4.44,1,2015-02-03,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422848658l/22609522._SY75_.jpg,142394620
107,Liberation Day: Stories,George Saunders,,2022-09-21,,256.0,4.0,0,2022-10-18,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1679496599l/60471573._SY75_.jpg,142394620
108,The Ocean at the End of the Lane,Neil Gaiman,2022-10-24,2022-09-19,4.0,181.0,4.02,1,2013-06-18,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497098563l/15783514._SY75_.jpg,142394620
109,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,,2022-09-19,,320.0,4.13,0,2011-01-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360570381l/11721966._SY75_.jpg,142394620
110,The Personal MBA: Master the Art of Business,Josh Kaufman,,2022-09-19,,416.0,4.11,0,2010-12-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348014445l/9512985._SY75_.jpg,142394620
111,I'm Glad My Mom Died,Jennette McCurdy,2022-09-12,2022-09-12,5.0,320.0,4.49,1,2022-08-09,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649286799l/59364173._SY75_.jpg,142394620
112,Undaunted: Overcoming Doubts and Doubters,Kara Goldin,,2022-09-06,,240.0,4.15,0,2020-10-20,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603295182l/52611590._SY75_.jpg,142394620
113,On Grief and Grieving: Finding the Meaning of Grief Through the Five Stages of Loss,Elisabeth Kübler-Ross,2022-09-26,2022-09-04,3.0,256.0,4.33,1,2005-01-01,2022-09-15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388192468l/33941._SY75_.jpg,142394620
114,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,,2022-09-04,,368.0,4.21,0,2014-07-24,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400863577l/18077903._SY75_.jpg,142394620
115,The Founders: The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley,Jimmy Soni,2022-09-04,2022-09-04,5.0,496.0,4.23,1,2022-02-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1643707855l/54304287._SY75_.jpg,142394620
116,The Innovation Stack: Building an Unbeatable Business One Crazy Idea at a Time,Jim McKelvey,,2022-08-22,,288.0,4.22,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576629144l/50748232._SX50_SY75_.jpg,142394620
117,One Small Step Can Change Your Life: The Kaizen Way,Robert Maurer,2022-08-16,2022-08-16,3.0,228.0,4.0,1,2009-01-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404579512l/266621._SX50_.jpg,142394620
118,Wanting: The Power of Mimetic Desire in Everyday Life,Luke Burgis,,2022-08-14,,304.0,3.82,0,2021-06-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615240502l/54860444._SY75_.jpg,142394620
119,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,,2022-08-13,,498.0,4.04,0,1997-05-09,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453215833l/1842._SY75_.jpg,142394620
120,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,2022-12-18,2022-08-08,4.0,496.0,4.43,1,2022-01-25,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1624825190l/58009109._SY75_.jpg,142394620
121,Homo Deus: A History of Tomorrow,Yuval Noah Harari,2022-10-08,2022-07-31,4.0,450.0,4.21,1,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468760805l/31138556._SY75_.jpg,142394620
122,Never Give Up: My Life in the Wild,Bear Grylls,2022-07-22,2022-07-23,3.0,336.0,3.89,1,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1637603565l/58340858._SX50_.jpg,142394620
123,Embracing Defeat: Japan in the Wake of World War II,John W. Dower,,2022-07-16,,676.0,4.14,0,1999-03-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388205271l/273197._SY75_.jpg,142394620
124,In the Realm of Hungry Ghosts: Close Encounters with Addiction,Gabor Maté,,2022-07-10,,480.0,4.5,0,2007-02-12,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327970900l/617702._SY75_.jpg,142394620
125,Norwegian Wood,Haruki Murakami,2022-07-09,2022-07-09,4.0,296.0,4.02,1,1987-09-04,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691007958l/11297._SY75_.jpg,142394620
126,"How the World Really Works: A Scientist's Guide to Our Past, Present and Future",Vaclav Smil,,2022-06-25,,,3.99,0,2022-05-10,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1641444915l/56587388._SY75_.jpg,142394620
127,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,2022-09-05,2022-06-20,4.0,416.0,4.35,1,,2022-08-24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652120231l/59696349._SY75_.jpg,142394620
128,Stolen Focus: Why You Can't Pay Attention- and How to Think Deeply Again,Johann Hari,2023-04-06,2022-06-20,3.0,357.0,4.25,1,2022-01-06,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626718328l/57933306._SY75_.jpg,142394620
129,"The Three-Body Problem        (Remembrance of Earth’s Past, #1)",Cixin Liu,2022-08-20,2022-05-21,4.0,399.0,4.09,1,2006-05-01,2022-08-16,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415428227l/20518872._SY75_.jpg,142394620
